Study	Sample	Library layout	Published year	Information	Tissue	Stage	Treatment	Type	Doi
PRJNA561674	SRR10015151	pair-end	2019	ZS11,125mMNacl,168h	Leaf	Seedling	Abiotic	Salt	10.3390/ijms20215355
PRJNA561674	SRR10015152	pair-end	2019	ZS11,125mM Nacl and 50uM melatonin,168h	Root	Seedling	Abiotic	Other	10.3390/ijms20215355
PRJNA561674	SRR10015153	pair-end	2019	ZS11,125mMNacl,168h	Root	Seedling	Abiotic	Salt	10.3390/ijms20215355
PRJNA561674	SRR10015154	pair-end	2019	ZS11,125mMNacl,168h	Root	Seedling	Abiotic	Salt	10.3390/ijms20215355
PRJNA561674	SRR10015155	pair-end	2019	ZS11,control	Leaf	Seedling	Development	Normal	10.3390/ijms20215355
PRJNA561674	SRR10015156	pair-end	2019	ZS11,control	Leaf	Seedling	Development	Normal	10.3390/ijms20215355
PRJNA561674	SRR10015157	pair-end	2019	ZS11,control	Leaf	Seedling	Development	Normal	10.3390/ijms20215355
PRJNA561674	SRR10015158	pair-end	2019	ZS11,control	Root	Seedling	Development	Normal	10.3390/ijms20215355
PRJNA561674	SRR10015159	pair-end	2019	ZS11,125mM Nacl and 50uM melatonin,168h	Leaf	Seedling	Abiotic	Other	10.3390/ijms20215355
PRJNA561674	SRR10015160	pair-end	2019	ZS11,125mM Nacl and 50uM melatonin,168h	Leaf	Seedling	Abiotic	Other	10.3390/ijms20215355
PRJNA561674	SRR10015161	pair-end	2019	ZS11,125mM Nacl and 50uM melatonin,168h	Leaf	Seedling	Abiotic	Other	10.3390/ijms20215355
PRJNA561674	SRR10015162	pair-end	2019	ZS11,125mM Nacl and 50uM melatonin,168h	Root	Seedling	Abiotic	Other	10.3390/ijms20215355
PRJNA561674	SRR10015163	pair-end	2019	ZS11,125mM Nacl and 50uM melatonin,168h	Root	Seedling	Abiotic	Other	10.3390/ijms20215355
PRJNA561674	SRR10015164	pair-end	2019	ZS11,125mM Nacl and 50uM melatonin,168h	Root	Seedling	Abiotic	Other	10.3390/ijms20215355
PRJNA561674	SRR10015165	pair-end	2019	ZS11,125mMNacl,168h	Leaf	Seedling	Abiotic	Salt	10.3390/ijms20215355
PRJNA561674	SRR10015166	pair-end	2019	ZS11,125mMNacl,168h	Leaf	Seedling	Abiotic	Salt	10.3390/ijms20215355
PRJNA561674	SRR10015167	pair-end	2019	ZS11,control	Root	Seedling	Development	Normal	10.3390/ijms20215355
PRJNA561674	SRR10015168	pair-end	2019	ZS11,control	Root	Seedling	Development	Normal	10.3390/ijms20215355
PRJNA562064	SRR10019828	pair-end	2019	C20(cold-sensitive),0 degree celsius,1h	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019829	pair-end	2019	C20(cold-sensitive),-2 degree celsius,1h	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019830	pair-end	2019	C20(cold-sensitive),-2 degree celsius,1h	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019831	pair-end	2019	C18(cold-tolerant),0 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019832	pair-end	2019	C18(cold-tolerant),0 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019833	pair-end	2019	C18(cold-tolerant),0 degree celsius,control	Leaf	Seedling	Abiotic	Cold	10.3389/fpls.2022.775692
PRJNA562064	SRR10019834	pair-end	2019	C18(cold-tolerant),-2 degree celsius,control	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
PRJNA562064	SRR10019835	pair-end	2019	C18(cold-tolerant),-2 degree celsius,control	Leaf	Seedling	Abiotic	Freeze	10.3389/fpls.2022.775692
